year,province,dev_cnt,dev_domestic,dev_nation,dev_collectivity,dev_HMT,dev_foreign,total_investment,complete_investment,year_complete_investment,building_investment,equip_investment,other_investment,roadwork_area,complete_area,complete_rate,complete_price,complete_cost
2005,贵州,1465.0,1405.0,91.0,32.0,39.0,21.0,639.31,346.38,154.12,102.55,1.57,50.0,2784.91,711.64,25.6,62.48,878.0
2005,辽宁,2744.0,2451.0,121.0,29.0,157.0,136.0,2677.28,1381.71,874.25,591.2,13.92,269.13,7058.93,2443.9,34.6,293.2,1200.0
2005,重庆,1862.0,1752.0,68.0,17.0,84.0,26.0,2599.85,1374.35,517.73,351.06,9.31,157.35,7487.36,2209.82,29.5,254.93,1154.0
2005,陕西,933.0,901.0,98.0,24.0,22.0,10.0,1030.42,536.79,298.95,227.37,9.19,62.39,3175.66,757.23,23.8,120.17,1587.0
2005,青海,251.0,237.0,11.0,5.0,11.0,3.0,128.86,75.99,29.11,22.7,0.55,5.87,422.87,104.11,24.6,12.66,1216.0
2005,黑龙,1050.0,1012.0,124.0,7.0,21.0,17.0,682.35,409.0,267.63,210.65,4.8,52.19,2630.47,1305.03,49.6,142.15,1089.0
2006,上海,3255.0,2813.0,293.0,122.0,269.0,173.0,7117.04,4690.14,1275.59,866.09,21.18,388.32,10938.75,3274.27,29.9,1011.31,3089.0
2006,云南,1072.0,1039.0,68.0,35.0,27.0,6.0,1073.67,663.32,332.15,246.82,4.78,80.55,3322.37,1160.38,34.9,166.09,1431.0
2006,内蒙,1173.0,1163.0,35.0,6.0,5.0,5.0,678.64,434.15,325.02,254.65,1.16,69.21,3601.48,1332.85,37.0,149.23,1120.0
2006,北京,3035.0,2687.0,133.0,29.0,208.0,140.0,9535.86,5851.97,1719.87,953.18,55.47,711.22,10483.53,3193.89,30.5,764.3,2393.0
2006,吉林,902.0,860.0,49.0,6.0,29.0,13.0,787.03,435.41,310.16,233.64,0.84,75.67,2846.72,934.85,32.8,112.32,1201.0
2006,四川,3057.0,2920.0,127.0,57.0,80.0,57.0,2789.01,1919.34,914.5,573.95,9.32,331.22,10606.9,3238.7,30.5,307.11,948.0
2006,天津,1007.0,911.0,136.0,28.0,45.0,51.0,2055.66,1226.24,402.32,266.09,5.48,130.75,4142.6,1520.24,36.7,353.75,2327.0
2006,宁夏,314.0,310.0,7.0,2.0,0.0,4.0,151.03,113.12,76.94,64.36,0.2,12.38,1140.52,524.53,46.0,53.56,1021.0
2006,安徽,2182.0,2059.0,132.0,44.0,66.0,57.0,2505.19,1347.37,637.45,460.4,7.22,169.82,7062.41,2067.23,29.3,255.31,1235.0
2006,山东,3172.0,2971.0,240.0,147.0,125.0,76.0,4535.71,2472.66,1185.38,871.61,10.63,303.13,12392.32,3699.08,29.8,473.11,1279.0
2006,山西,1393.0,1368.0,130.0,27.0,20.0,5.0,715.36,464.65,208.62,170.41,3.46,34.76,3100.92,674.69,21.8,91.06,1350.0
